EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
0324 - CINZA / GREY / GRIS,356 / 4/5 / 37/38,37890557778491
0324 - CINZA / GREY / GRIS,378 / 6 / 39/40,37890557778507
0324 - CINZA / GREY / GRIS,390 / 7/8 / 41/42,37890557778514
0324 - CINZA / GREY / GRIS,412 / 9 / 43/44,37890557778521
0324 - CINZA / GREY / GRIS,434 / 10/11 / 45/46,37890557778538
0324 - CINZA / GREY / GRIS,456 / 12 / 47/48,37890557778552
0727 - CAFE / DARK BROWN / MARRON OSCURO,334 / 3 / 35/36,37890732662614
0727 - CAFE / DARK BROWN / MARRON OSCURO,356 / 4/5 / 37/38,37890732662621
0727 - CAFE / DARK BROWN / MARRON OSCURO,378 / 6 / 39/40,37890732662638
0727 - CAFE / DARK BROWN / MARRON OSCURO,390 / 7/8 / 41/42,37890732662645
0727 - CAFE / DARK BROWN / MARRON OSCURO,412 / 9 / 43/44,37890732653049
0727 - CAFE / DARK BROWN / MARRON OSCURO,434 / 10/11 / 45/46,37890732662652
0727 - CAFE / DARK BROWN / MARRON OSCURO,456 / 12 / 47/48,37890732652486
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,334 / 3 / 35/36,37891109282961
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,356 / 4/5 / 37/38,37891109282978
,,7/14
7000106-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,378 / 6 / 39/40,37891109282985
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,390 / 7/8 / 41/42,37891109282992
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,412 / 9 / 43/44,37891109283005
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,434 / 10/11 / 45/46,37891109283012
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,456 / 12 / 47/48,37891109283029
2619 - AMAZONIA / AMAZONIA / AMAZONIA,334 / 3 / 35/36,37891109283098
2619 - AMAZONIA / AMAZONIA / AMAZONIA,356 / 4/5 / 37/38,37891109283104
2619 - AMAZONIA / AMAZONIA / AMAZONIA,378 / 6 / 39/40,37891109283111
2619 - AMAZONIA / AMAZONIA / AMAZONIA,390 / 7/8 / 41/42,37891109283128
2619 - AMAZONIA / AMAZONIA / AMAZONIA,412 / 9 / 43/44,37891109283135
2619 - AMAZONIA / AMAZONIA / AMAZONIA,434 / 10/11 / 45/46,37891109283142
2619 - AMAZONIA / AMAZONIA / AMAZONIA,456 / 12 / 47/48,37891109283159
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,334 / 3 / 35/36,37890557779337
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,356 / 4/5 / 37/38,37890557779344
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,378 / 6 / 39/40,37890557779368
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,390 / 7/8 / 41/42,37890557779375
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,412 / 9 / 43/44,37890557779382
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,434 / 10/11 / 45/46,37890557779399
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,456 / 12 / 47/48,37890557779405
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,334 / 3 / 35/36,37895265299047
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,356 / 4/5 / 37/38,37895265299054
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,378 / 6 / 39/40,37895265299061
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,390 / 7/8 / 41/42,37895265299078
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,412 / 9 / 43/44,37895265299085
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,434 / 10/11 / 45/46,37895265299092
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,456 / 12 / 47/48,37895265299160
,,8/14
7005481-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
0001 - BRANCO / WHITE / BLANCO,334 / 3 / 35/36,37891109156408
0001 - BRANCO / WHITE / BLANCO,356 / 4/5 / 37/38,37891109156415
0001 - BRANCO / WHITE / BLANCO,378 / 6 / 39/40,37891109156422
0001 - BRANCO / WHITE / BLANCO,390 / 7/8 / 41/42,37891109156439
0001 - BRANCO / WHITE / BLANCO,412 / 9 / 43/44,37891109156446
0001 - BRANCO / WHITE / BLANCO,434 / 10/11 / 45/46,37891109156453
0001 - BRANCO / WHITE / BLANCO,456 / 12 / 47/48,37891109156460
0090 - PRETO / BLACK / NEGRO,334 / 3 / 35/36,37891109157085
0090 - PRETO / BLACK / NEGRO,356 / 4/5 / 37/38,37891109157092
0090 - PRETO / BLACK / NEGRO,378 / 6 / 39/40,37891109157108
0090 - PRETO / BLACK / NEGRO,390 / 7/8 / 41/42,37891109157115
0090 - PRETO / BLACK / NEGRO,412 / 9 / 43/44,37891109157122
0090 - PRETO / BLACK / NEGRO,434 / 10/11 / 45/46,37891109157139
0090 - PRETO / BLACK / NEGRO,456 / 12 / 47/48,37891109157146
0090 - PRETO / BLACK / NEGRO,478 / 13/14 / 49/40,37891109157153
0324 - CINZA / GREY / GRIS,334 / 3 / 35/36,37891109157276
0324 - CINZA / GREY / GRIS,356 / 4/5 / 37/38,37891109157283
0324 - CINZA / GREY / GRIS,378 / 6 / 39/40,37891109157290
0324 - CINZA / GREY / GRIS,390 / 7/8 / 41/42,37891109157306
0324 - CINZA / GREY / GRIS,412 / 9 / 43/44,37891109157313
0324 - CINZA / GREY / GRIS,434 / 10/11 / 45/46,37891109157320
0324 - CINZA / GREY / GRIS,456 / 12 / 47/48,37891109157337
0727 - CAFE / DARK BROWN / MARRON OSCURO,334 / 3 / 35/36,37891109157931
0727 - CAFE / DARK BROWN / MARRON OSCURO,356 / 4/5 / 37/38,37891109157948
0727 - CAFE / DARK BROWN / MARRON OSCURO,378 / 6 / 39/40,37891109157955
0727 - CAFE / DARK BROWN / MARRON OSCURO,390 / 7/8 / 41/42,37891109157962
0727 - CAFE / DARK BROWN / MARRON OSCURO,412 / 9 / 43/44,37891109157979
0727 - CAFE / DARK BROWN / MARRON OSCURO,434 / 10/11 / 45/46,37891109157986
0727 - CAFE / DARK BROWN / MARRON OSCURO,456 / 12 / 47/48,37891109157993
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,334 / 3 / 35/36,37891109283357
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,356 / 4/5 / 37/38,37891109283364
,,9/14
7005481-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,378 / 6 / 39/40,37891109283371
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,390 / 7/8 / 41/42,37891109283388
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,412 / 9 / 43/44,37891109283395
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,434 / 10/11 / 45/46,37891109283401
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,456 / 12 / 47/48,37891109283418
2619 - AMAZONIA / AMAZONIA / AMAZONIA,334 / 3 / 35/36,37891109283487
2619 - AMAZONIA / AMAZONIA / AMAZONIA,356 / 4/5 / 37/38,37891109283494
2619 - AMAZONIA / AMAZONIA / AMAZONIA,378 / 6 / 39/40,37891109283500
2619 - AMAZONIA / AMAZONIA / AMAZONIA,390 / 7/8 / 41/42,37891109283517
2619 - AMAZONIA / AMAZONIA / AMAZONIA,412 / 9 / 43/44,37891109283524
